fecha_captura,fecha_actualizacion,nivel,ubigeo,nombre_ubigeo,actas_contabilizadas,contabilizadas,total_actas,participacion,votos_emitidos,votos_validos,enviadas_jee,pendientes_jee
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,140000,LIMA,60.105,17579,29247,47.788,4134144,3881356,537,11131
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,150000,LORETO,28.699,774,2697,18.93,146883,137105,10,1913
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,160000,MADRE DE DIOS,53.846,273,507,39.628,58482,55456,4,230
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,170000,MOQUEGUA,80.796,467,578,66.279,109114,102637,2,109
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,180000,PASCO,41.397,332,802,28.948,64755,60267,7,463
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,190000,PIURA,56.864,3003,5281,44.39,680975,627598,47,2231
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,200000,PUNO,52.487,1783,3397,42.67,411117,391423,20,1594
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,210000,SAN MARTÍN,49.763,1261,2534,37.257,269593,249231,6,1267
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,220000,TACNA,81.94,853,1041,67.449,204110,192499,12,176
2026-06-08T03:09:04+00:00,2026-06-08T03:06:01+00:00,departamento,230000,TUMBES,92.405,584,632,70.48,127793,117723,3,45
2026-06-08T03:09:04+00:00,2026-06-08T03:08:01+00:00,departamento,250000,UCAYALI,52.11,815,1564,35.388,160637,150541,20,729
2026-06-08T03:13:57+00:00,2026-06-08T03:12:01+00:00,nacional,,PERÚ,56.921,52803,92766,43.709,11943730,11160439,918,39045
2026-06-08T03:13:57+00:00,2026-06-08T03:12:01+00:00,departamento,010000,AMAZONAS,41.706,533,1278,29.68,102470,95401,9,736
2026-06-08T03:13:57+00:00,2026-06-08T03:12:01+00:00,departamento,020000,ÁNCASH,57.604,2000,3472,44.199,429338,393211,28,1444
